"#","Reference","Qty","Value","Footprint"
"1","C201, C202, C218, C223","4","14p","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"2","C203, C204, C205, C206, C207, C209, C210, C211, C212, C213, C215, C216, C219, C220, C221, C222, C224, C225, C226, C227, C403, C404, C409","23","100n","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"3","C208, C214, C217, C228","4","1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"4","J1","1","Conn_02x10_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x10_P1.27mm_Vertical_SMD"
"5","J2","1","DB15_Female_HighDensity_MountingHoles","Connector_Dsub:DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm"
"6","J201, J202","2","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"
"7","J302","1","NOT_HDMI_A","Connector_HDMI:HDMI_A_Molex_208658-1001_Horizontal"
"8","Q1, Q2, Q3, Q4","4","BS170F","Package_TO_SOT_SMD:SOT-23"
"9","R17, R19, R21, R23, R24, R25, R26, R27","8","619","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"10","R18, R20, R28, R29","4","309","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"11","R22, R30","2","97.6","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"12","R31, R32, R34","3","536","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"13","R33, R36","2","47","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"14","R35","1","267","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"15","R37","1","105","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"16","R38, R39, R40, R41, R403, R404, R405","7","10k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"17","R42, R43, R44, R45","4","0","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"18","R201, R202","2","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"19","R315, R316, R317, R318, R319, R320, R321, R322","8","270","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"20","U1","1","W25Q32JVSS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm"
"21","U2","1","IPS1604","Package_SO:SOP-8_3.9x4.9mm_P1.27mm"
"22","U4, U6","2","RP2040","footprints:QFN40P700X700X90-57N"
"23","U403","1","W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm"
"24","Y201, Y202","2","ECS-120-8-36-CGN-TR","footprints:XTAL_ECS-120-8-36-CGN-TR"
