value,footprint,refs,requirement,source,stock_id,mpn,manufacturer,lcsc,note,datasheet
4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,"MLCC X5R/X7R, >=16 V (eFuse input side, OVP transient), 0805",order,,CL21A475KAQNNNE,Samsung,,25 V X5R +/-10 %; nothing 0805 4.7 uF in stock,
100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,"MLCC X5R/X7R, >=16 V (some sit on 5 V rails), 0402",stock,1EX-XB,CL05A104KA5NNNC,Samsung,,25 V X5R; alternative FzQRT1 (CC0402KRX7R7BB104 X7R 16 V),https://product.samsungsem.com/part/download.do?type=specsheet&masterKey=CL05A104KA5NNN
100n,C_0402_1005Metric,,"MLCC X5R/X7R, >=16 V, 0402",stock,1EX-XB,CL05A104KA5NNNC,Samsung,,same part as the hand-solder footprint group,https://product.samsungsem.com/part/download.do?type=specsheet&masterKey=CL05A104KA5NNN
1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,"MLCC X5R/X7R, >=16 V (eFuse OUT, SY6280 IN, LDO IN on 5 V), 0402",stock,jpSlX5,GRM155R61E105KA12D,Murata,,25 V X5R +/-10 %,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081616_Murata-Electronics-GRM155R61E105KA12D_C77009.pdf
150u,CP_Elec_8x10.5,,"hybrid polymer, >=16 V, low ESR, 8x10.2 mm (plan 2.2/2.4)",order,,EEHZC1V151P,Panasonic,,150 uF 35 V ZC series; no MnO2 tantalum,
10n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,"MLCC X7R, >=16 V (CC lines can see 5 V), 0402",order,,CL05B103KB5NNNC,Samsung,,50 V X7R +/-10 %; only 0805 10 nF in stock,
10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,"MLCC X5R, >=25 V, 1206 (plan 2.4: CL31A106KAHNNNE)",stock,jTQdtx,CL31A106KAHNNNE,Samsung,,second row of the same MPN: lyeBaU (10 pcs),https://product.samsungsem.com/part/download.do?type=specsheet&masterKey=CL31A106KAHNNN
4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,"MLCC X5R, >=16 V (C28 is on +5V), 0402",stock,8ik0E6,GRM155R61E475ME15D,Murata,,25 V X5R; for the 3.3 V / 1.1 V spots CL05A475MQ5NRNC (iXxo7i) is also fine,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2108150230_Murata-Electronics-GRM155R61E475ME15D_C2858031.pdf
6.8p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,"C0G/NP0, >=16 V, 0402 (buck feed-forward, RTC load caps)",stock,Mr3DpZ,0402N6R8D500CT,Walsin,,+/-0.5 pF 50 V NPO; RTC value to verify on the bench,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Walsin-Tech-Corp-0402N6R8D500CT_C301992.pdf
14p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,"C0G/NP0, <=5 %, 0402 (12 MHz crystal load)",stock,fADMVi,402N140J500CT,Walsin,,,
14p,C_0402_1005Metric,,"C0G/NP0, <=5 %, 0402 (12 MHz crystal load)",stock,fADMVi,402N140J500CT,Walsin,,,
10u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,"MLCC X5R, >=6.3 V (on +3V3), 0402",stock,fwsX-M,0402ZD106MAT2A,Kyocera AVX,,10 V X5R; alternative jnb08B (CL05A106MP5NUNC),https://datasheets.kyocera-avx.com/cx5r.pdf
2.2u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,"MLCC X5R/X7R, >=10 V, 0603 (PCM5101A CAPP/CAPM flying cap and VNEG)",verify,fETy6d,CL10A225KO8NNNC,Samsung,,stock row has no dielectric/voltage/MPN; use it only if the reel says X5R/X7R >=10 V,
2.2n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,"C0G/NP0, <=5 %, >=16 V, 0402 (audio output filter)",order,,GRM1555C1H222JA01D,Murata,,50 V C0G +/-5 %,
2.2u,C_0402_1005Metric,,"MLCC X5R, >=6.3 V (probe 3.3 V / 1.1 V), 0402",stock,g-N9ZG,CL05A225MP5NSNC,Samsung,,10 V X5R,https://product.samsungsem.com/part/download.do?type=specsheet&masterKey=CL05A225MP5NSN
LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,"D1,D2","0402 orange-red, eFuse FAULT indicators (plan 2.4)",stock,TPXhNF,ZSR1-1105C-045-Z4,Chau Light,,,
LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,,"0402 yellow-green 571 nm (plan 2.4), status/power",stock,lQ5VQw,SZYY0402YG,Yongyu,,colours of D23/D24/D120-D124 are not fixed in the schematic,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2102221739_Yongyu-Photoelectric-SZYY0402YG_C434449.pdf
FerriteBead,L_0402_1005Metric,,"ferrite bead 0402, >=200 mA, ~600 Ohm at 100 MHz (PCM5101A AVDD/CPVDD, plan 2.3)",order,,BLM15AG601SN1D,Murata,,,only 0805 BLM21PG600SN1D in stock
PMEG3020EP,D_SOD-128,,"Schottky 30 V 2 A, SOD-128",order,,"PMEG3020EP,115",Nexperia,C513108,,https://assets.nexperia.com/documents/data-sheet/PMEG3020EP.pdf
MountingHole,MountingHole_3.2mm_M3_DIN965,,,none,,,,,no part,
MountingHole,MountingHole_2.2mm_M2_DIN965,,,none,,,,,no part,
TestPoint,TestPoint_THTPad_D1.5mm_Drill0.7mm,,,none,,,,,no part,
