"#","Reference","Qty","Value","Footprint"
"1","C1, C2, C69, C70","4","14p","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"2","C3, C5, C15, C16, C29, C31, C45, C48, C59, C63","10","1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"3","C4, C6, C7, C8, C9, C10, C11, C12, C13, C14, C27, C28, C33, C34, C42, C44, C46, C47, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C61, C62, C66, C67, C72, C73, C402","35","100n","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"4","C17, C41, C43","3","4.7u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"5","C18, C19","2","100pF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"6","C20, C22","2","2.2u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"7","C21","1","10uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"8","C23, C24, C25, C26, C60","5","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"9","C30, C32","2","3300p","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"10","C35, C36","2","22p","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"11","C37, C38, C39, C40","4","22u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"12","C64, C65","2","47u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"13","C68","1","10u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"14","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10","10","LESD5D5.0CT1G","footprints:TVS_LESD5D5.0CT1G"
"15","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_2.2mm_M2_DIN965"
"16","IC1","1","SN74HCS151PWR","Package_SO:TSSOP-16_4.4x5mm_P0.65mm"
"17","J1, J5","2","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"18","J2","1","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal"
"19","J3, J4","2","~","Connector_USB:USB_A_Wuerth_61400826021_Horizontal_Stacked"
"20","J6","1","Micro_SD_Card","Connector_Card:microSD_HC_Wuerth_693072010801"
"21","J7, J9, J12","3","Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"
"22","J8","1","Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical"
"23","J10, J11","2","AudioJack4","Connector_Audio:Jack_3.5mm_PJ320D_Horizontal"
"24","J13","1","Connector A 16-bit","Connector_PinSocket_1.27mm:PinSocket_2x15_P1.27mm_Vertical_SMD"
"25","J14","1","Value: Connector A 8-bit","Connector_PinSocket_1.27mm:PinSocket_2x10_P1.27mm_Vertical_SMD"
"26","J15","1","Connector A - 4 bit","Connector_PinSocket_1.27mm:PinSocket_2x08_P1.27mm_Vertical_SMD"
"27","J16","1","Connector B - 4 bit","Connector_PinSocket_1.27mm:PinSocket_2x08_P1.27mm_Vertical_SMD"
"28","J17","1","Connector B 8-bit","Connector_PinSocket_1.27mm:PinSocket_2x10_P1.27mm_Vertical_SMD"
"29","J18","1","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"
"30","L1","1","3.3u","footprints:NRS8030"
"31","L2","1","2.2u","footprints:IND_NR6028T4R7M"
"32","R1, R21, R24","3","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"33","R2, R3, R4, R11, R12, R13, R14, R28, R29","9","0","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"34","R5","1","120k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"35","R6","1","3.3k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"36","R7, R10","2","22k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"37","R8","1","68k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
